,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
CO(GT),1.0,0.8802253744351188,0.9039159275572652,0.8985624313341269,0.7865855678203779,-0.757928506152501,0.6489196827740588,0.6123158517189758,0.8406704057271802,0.03652698516367434,0.01613705145383225,0.04378055416102653
PT08.S1(CO),0.8802253744351188,1.0,0.8917127113826038,0.8959238423644342,0.7185495663413243,-0.8111595920769644,0.5795242138809164,0.6702188652919188,0.9021206767878438,0.0365171777266779,0.12324109645552865,0.1242840266889107
C6H6(GT),0.9039159275572652,0.8917127113826038,1.0,0.9880432360279402,0.7071235340105647,-0.7894504938551622,0.5434245198863635,0.7589605154772433,0.8717505315028432,0.20048441602467068,-0.06155308038568561,0.16119053221892315
PT08.S2(NMHC),0.8985624313341269,0.8959238423644342,0.9880432360279402,1.0,0.7098795506263714,-0.8294038957883119,0.5583065656079279,0.7691006464508092,0.8783398111316403,0.23251932705740483,-0.08085336783357029,0.1786514079097364
NOx(GT),0.7865855678203779,0.7185495663413243,0.7071235340105647,0.7098795506263714,1.0,-0.7519497645044001,0.7190307376866775,0.24930453160808272,0.781712338167698,-0.219157251638972,0.17017892894010367,-0.1146161617603578
PT08.S3(NOx),-0.757928506152501,-0.8111595920769644,-0.7894504938551622,-0.8294038957883119,-0.7519497645044001,1.0,-0.5961019461702676,-0.545114449192244,-0.8289680272097841,-0.12435311727216704,-0.07088231228103024,-0.21712602137267317
NO2(GT),0.6489196827740588,0.5795242138809164,0.5434245198863635,0.5583065656079279,0.7190307376866775,-0.5961019461702676,1.0,0.0984872488740711,0.6346976769996309,-0.2042498131305027,-0.08387766611916771,-0.33605665998314826
PT08.S4(NO2),0.6123158517189758,0.6702188652919188,0.7589605154772433,0.7691006464508092,0.24930453160808272,-0.545114449192244,0.0984872488740711,1.0,0.5766695350346016,0.5651562037944687,-0.01592081050288749,0.6373493893447396
PT08.S5(O3),0.8406704057271802,0.9021206767878438,0.8717505315028432,0.8783398111316403,0.781712338167698,-0.8289680272097841,0.6346976769996309,0.5766695350346016,1.0,-0.044439387584074806,0.13917627061140375,0.05793213339507664
T,0.03652698516367434,0.0365171777266779,0.20048441602467068,0.23251932705740483,-0.219157251638972,-0.12435311727216704,-0.2042498131305027,0.5651562037944687,-0.044439387584074806,1.0,-0.5684957660437705,0.6582956454282324
RH,0.01613705145383225,0.12324109645552865,-0.06155308038568561,-0.08085336783357029,0.17017892894010367,-0.07088231228103024,-0.08387766611916771,-0.01592081050288749,0.13917627061140375,-0.5684957660437705,1.0,0.1788074143505988
AH,0.04378055416102653,0.1242840266889107,0.16119053221892315,0.1786514079097364,-0.1146161617603578,-0.21712602137267317,-0.33605665998314826,0.6373493893447396,0.05793213339507664,0.6582956454282324,0.1788074143505988,1.0
